NAME,Proportion_of_married-couple_families_below_the_poverty_level_where_householder_did_not_graduate_high_school,Proportion_of_married-couple_families_below_the_poverty_level_where_householder's_highest_education_=_high_school_graduate/equivalent,Proportion_of_married-couple_families_below_the_poverty_level_where_householder's_highest_education_=_some_college_or_associate's_degree,Proportion_of_married-couple_families_below_the_poverty_level_where_householder's_highest_education_level_=_bachelor's_degree_or_higher,Proportion_of_female-householder_families_below_the_poverty_level_where_householder_did_not_graduate_high_school,Proportion_of_female-householder_families_below_the_poverty_level_where_householder's_highest_education_=_high_school_graduate/equivalent,Proportion_of_female-householder_families_below_the_poverty_level_where_householder's_highest_education_=_some_college_or_associate's_degree,Proportion_of_female-householder_families_below_the_poverty_level_where_householder's_highest_education_level_=_bachelor's_degree_or_higher
00601,0.6832797427652733,0.5963302752293578,0.3908872901678657,0.469601677148847,0.8434163701067615,0.8206896551724138,0.8857142857142857,0.7043478260869566
00602,0.5159045725646123,0.4158291457286432,0.27099236641221375,0.062088428974600186,0.5773889636608345,0.7112068965517241,0.643510054844607,0.44666666666666666
00603,0.5724233983286908,0.417804478427089,0.1643192488262911,0.11050420168067226,0.6637554585152838,0.8492063492063492,0.7462019660411081,0.3629032258064516
00606,0.5846994535519126,0.5020576131687243,0.19658119658119658,0.3170731707317073,0.6396761133603239,0.5833333333333334,0.2523364485981308,0.40425531914893614
00610,0.5689828801611279,0.43813559322033896,0.22330097087378642,0.1141552511415525,0.6832151300236406,0.5526881720430108,0.3852295409181637,0.3079268292682927
00612,0.4462457337883959,0.3781376518218624,0.2225504677498769,0.12967032967032968,0.6474609375,0.7153605015673982,0.7029823493609252,0.30802292263610315
00616,0.6650717703349283,0.29239766081871343,0.23404255319148937,0.26582278481012656,0.36666666666666664,0.6034985422740525,0.7255813953488373,0.22594142259414227
00617,0.5602836879432624,0.35309278350515466,0.19910179640718562,0.14481897627965043,0.6168674698795181,0.734533183352081,0.7476099426386233,0.3509036144578313
00622,0.6316872427983539,0.5269230769230769,0.18222222222222223,0.16878980891719744,1.0,0.5918367346938775,0.5740740740740741,0.0
00623,0.4383289124668435,0.3586261980830671,0.2652370203160271,0.09085365853658536,0.7532467532467533,0.7304015296367112,0.8326271186440678,0.2550335570469799
