,State,Households,Married_couple_households_with_no_children,Households_with_1_or_more_children,Married_couple_households_with_1_or_more_children,Median_household_income,Children_below_poverty_level,Children_at_or_above_poverty_level,Children_in_married_couple_families_below_poverty_level,Children_in_married_couple_families_at_or_above_poverty_level,Children_in_female_householder_families_below_poverty_level,Children_in_female_householder_families_at_or_above_poverty_level,Children_in_male_householder_families_below_poverty_level,Children_in_male_householder_families_at_or_above_poverty_level,Number_of_married-couple_families_below_the_poverty_level_where_householder_did_not_graduate_high_school,Number_of_married-couple_families_at_or_above_the_poverty_level_where_householder_did_not_graduate_high_school,Number_of_married-couple_families_below_the_poverty_level_where_householder's_highest_education_=_high_school_graduate/equivalent,Number_of_married-couple_families_at_or_above_the_poverty_level_where_householder's_highest_education_=_high_school_graduate/equivalent,Number_of_married-couple_families_below_the_poverty_level_where_householder's_highest_education_=_some_college_or_associate's_degree,Number_of_married-couple_families_at_or_above_the_poverty_level_where_householder's_highest_education_=_some_college_or_associate's_degree,Number_of_married-couple_families_below_the_poverty_level_where_householder's_highest_education_level_=_bachelor's_degree_or_higher,Number_of_married-couple_families_at_or_above_the_poverty_level_where_householder's_highest_education_level_=_bachelor's_degree_or_higher,Number_of_female-householder_families_below_the_poverty_level_where_householder_did_not_graduate_high_school,Number_of_female-householder_families_at_or_above_the_poverty_level_where_householder_did_not_graduate_high_school,Number_of_female-householder_families_below_the_poverty_level_where_householder's_highest_education_=_high_school_graduate/equivalent,Number_of_female-householder_families_at_or_above_the_poverty_level_where_householder's_highest_education_=_high_school_graduate/equivalent,Number_of_female-householder_families_below_the_poverty_level_where_householder's_highest_education_=_some_college_or_associate's_degree,Number_of_female-householder_families_at_or_above_the_poverty_level_where_householder's_highest_education_=_some_college_or_associate's_degree,Number_of_female-householder_families_below_the_poverty_level_where_householder's_highest_education_level_=_bachelor's_degree_or_higher,Number_of_female-householder_families_at_or_above_the_poverty_level_where_householder's_highest_education_level_=_bachelor's_degree_or_higher,Total_number_of_individuals_25+y/o_in_table_B16010,Number_of_individuals_25+y/o_who_did_not_graduate_high_school,Number_of_individuals_25+y/o_whose_highest_education_level_=_high_school_graduate/equivalent,Number_of_individuals_25+_y/o_whose_highest_education_level_=_some_college/associate's_degree,Number_of_individuals_25+_y/o_whose_highest_education_level_=_bachelor's_degree_or_higher,Married_couple_households_with_one_or_more_children_as_proportion_of_all_households,Married_couple_households_with_one_or_more_children_as_proportion_of_all_households_with_one_or_more_children,Proportion_of_children_below_poverty_level,Proportion_of_children_in_married_couple_families_below_poverty_level,Proportion_of_children_in_female_householder_families_below_poverty_level,Proportion_of_children_in_male_householder_families_below_poverty_level,Proportion_of_married-couple_families_below_the_poverty_level_where_householder_did_not_graduate_high_school,Proportion_of_married-couple_families_below_the_poverty_level_where_householder's_highest_education_=_high_school_graduate/equivalent,Proportion_of_married-couple_families_below_the_poverty_level_where_householder's_highest_education_=_some_college_or_associate's_degree,Proportion_of_married-couple_families_below_the_poverty_level_where_householder's_highest_education_level_=_bachelor's_degree_or_higher,Proportion_of_female-householder_families_below_the_poverty_level_where_householder_did_not_graduate_high_school,Proportion_of_female-householder_families_below_the_poverty_level_where_householder's_highest_education_=_high_school_graduate/equivalent,Proportion_of_female-householder_families_below_the_poverty_level_where_householder's_highest_education_=_some_college_or_associate's_degree,Proportion_of_female-householder_families_below_the_poverty_level_where_householder's_highest_education_level_=_bachelor's_degree_or_higher,Proportion_of_individuals_25+y/o_who_did_not_graduate_high_school,Proportion_of_individuals_25+y/o_whose_highest_education_level_=_high_school_graduate/equivalent,Proportion_of_individuals_25+_y/o_whose_highest_education_level_=_some_college/associate's_degree,Proportion_of_individuals_25+_y/o_whose_highest_education_level_=_bachelor's_degree_or_higher
10,Virginia,3175524.0,915644.0,977452.0,663434.0,72577.0,244432.0,1587460.0,61890.0,1215157.0,163399.0,262593.0,19143.0,109710.0,10901.0,86330.0,19280.0,261676.0,11642.0,403447.0,9284.0,776518.0,17819.0,32323.0,28178.0,65644.0,29189.0,101338.0,8524.0,86997.0,5822007.0,588385.0,1398061.0,1545104.0,2290457.0,0.20892111034273397,0.6787381886783187,0.1334314468320185,0.048463369006778924,0.38357293094706,0.14856464343088635,0.1121144490954531,0.06862284485826962,0.028046997150008794,0.011814681051969835,0.35537074707829763,0.30033467630193345,0.22362423100201492,0.0892369217240188,0.10106222819725226,0.2401338576198895,0.26539026833873613,0.39341364584412214
11,Washington,2895575.0,851589.0,871429.0,603302.0,74073.0,196892.0,1429225.0,68314.0,1103837.0,112158.0,216369.0,16420.0,109019.0,9720.0,70644.0,11200.0,220369.0,14403.0,472636.0,10353.0,645566.0,13735.0,20054.0,16147.0,46787.0,26151.0,95333.0,6561.0,64059.0,5215063.0,437484.0,1133822.0,1730653.0,1913104.0,0.20835309049152587,0.6923134300097885,0.12108107842178638,0.05828088701882266,0.34139659753992824,0.13090027822288125,0.12094967896072868,0.04836571389089213,0.02957258042990397,0.015783961129346765,0.4064932374441386,0.2565703753138208,0.21526291528102467,0.09290569243840271,0.0838885359582425,0.21741290565425575,0.33185658543338786,0.36684197295411386
12,Maryland,2215935.0,611614.0,694746.0,457819.0,83242.0,147384.0,1164595.0,33910.0,853151.0,100193.0,228352.0,13281.0,83092.0,5631.0,59129.0,9526.0,177610.0,5375.0,251505.0,6662.0,553995.0,10477.0,19309.0,20332.0,59284.0,16805.0,87089.0,5040.0,82877.0,4167339.0,396131.0,1009495.0,1061018.0,1700695.0,0.20660308176909523,0.6589732074743864,0.11233716393326418,0.038227359786981954,0.3049597467622396,0.1378083073059882,0.08695182211241508,0.050904155266757865,0.02092416692619122,0.011882487866913281,0.35174242932921507,0.2553758038585209,0.16175140046585942,0.057326796865225155,0.09505610174742203,0.2422397122000394,0.2546032372216419,0.40810094883089665
13,Minnesota,2194452.0,650280.0,649037.0,452831.0,70315.0,144080.0,1130107.0,47712.0,880502.0,84656.0,163484.0,11712.0,86121.0,6474.0,38068.0,7748.0,197370.0,9817.0,347140.0,5605.0,490889.0,10199.0,11462.0,11858.0,34538.0,15811.0,65453.0,4136.0,43959.0,3809229.0,252805.0,921287.0,1237009.0,1398128.0,0.2063526566085747,0.6976967414800697,0.11307602416285836,0.051401939638919474,0.3411622471185621,0.11971420686271503,0.14534596560549592,0.03777337922561647,0.0275019119950022,0.011289159587024214,0.470846221319422,0.2555823777911889,0.1945633983067533,0.08599646532903628,0.06636644843352815,0.24185655417408614,0.32473999331623277,0.3670370040761529
14,Oklahoma,1485310.0,410170.0,487050.0,306120.0,51924.0,198846.0,732892.0,62283.0,545915.0,118911.0,125300.0,17652.0,61677.0,10116.0,51958.0,15245.0,166254.0,11195.0,222920.0,4499.0,234103.0,12160.0,11082.0,22782.0,36351.0,21158.0,49973.0,3520.0,30837.0,2607613.0,301260.0,816934.0,821258.0,668161.0,0.20609839023503512,0.6285186325839236,0.21341407133765072,0.10240579548107688,0.4869190986483,0.22251635593540825,0.16296678158327157,0.0839949531402377,0.047818379856053646,0.018855667597086363,0.5231907753205404,0.38526710973568057,0.2974511816226399,0.10245364845591874,0.11553094726863226,0.31328805309683605,0.31494627461973845,0.2562347250147932
15,Georgia,3803012.0,1014451.0,1248902.0,768924.0,58756.0,494416.0,1958023.0,127505.0,1402762.0,322745.0,419249.0,44166.0,136012.0,24510.0,123553.0,28127.0,359918.0,22170.0,473882.0,13520.0,737695.0,35850.0,40923.0,52355.0,104761.0,56171.0,146418.0,13233.0,120959.0,6978172.0,866099.0,1942122.0,1945918.0,2224033.0,0.20218816033186326,0.6156800133237036,0.20160175237793887,0.08332206079069862,0.43496982455383737,0.24512426600361864,0.1655376427601764,0.07248386140782641,0.04469289509970729,0.017997510699333745,0.4669610409909734,0.3332251330227348,0.2772657942928787,0.09861243591272208,0.12411545602487299,0.2783138621404001,0.27885784414600273,0.3187128376887242
16,Illinois,4864864.0,1327233.0,1461981.0,965858.0,65030.0,446282.0,2360105.0,124716.0,1763004.0,280599.0,427467.0,40967.0,169634.0,21721.0,149578.0,29142.0,444820.0,21880.0,622871.0,14456.0,988623.0,31404.0,42521.0,49920.0,108940.0,57076.0,176711.0,11532.0,120706.0,8706376.0,914782.0,2269285.0,2469625.0,3052684.0,0.19853751307333567,0.6606501726082623,0.15902368418895896,0.06606700146208123,0.39628932896085955,0.19452424252496428,0.12680167426546565,0.06148594191095488,0.03393558133294869,0.014411626601693386,0.42480892796753467,0.3142389525368249,0.24413675696253428,0.08720640058077103,0.10507035303781964,0.2606463355131917,0.2836570577700756,0.35062625367891304
17,Kentucky,1732713.0,494951.0,539627.0,343028.0,50247.0,221371.0,754846.0,76662.0,569437.0,126831.0,126185.0,17878.0,59224.0,14829.0,57919.0,20431.0,217114.0,14948.0,239875.0,4963.0,267900.0,15740.0,15228.0,27079.0,42115.0,27234.0,55772.0,4295.0,29801.0,3039414.0,401064.0,990911.0,893654.0,753785.0,0.19797162022793158,0.6356761244340998,0.22676413133555348,0.11865364286278109,0.5012765991083568,0.23187465954190553,0.20384065541320723,0.08600896672209477,0.05866032500990884,0.01818861479936818,0.5082665977783518,0.39134896089256294,0.32809676408934296,0.12596785546691694,0.13195438331204634,0.32602041051334235,0.2940218081511765,0.24800339802343477
18,Massachusetts,2624294.0,714136.0,748388.0,511108.0,79835.0,158083.0,1180984.0,39939.0,903242.0,106962.0,206109.0,11182.0,71633.0,8962.0,65918.0,10632.0,201438.0,7753.0,258148.0,8264.0,664129.0,15033.0,22507.0,22195.0,60912.0,18014.0,86524.0,6364.0,78125.0,4832728.0,446304.0,1126183.0,1108231.0,2152010.0,0.194760190740824,0.6829452102385394,0.11805458576755308,0.042345000588434246,0.3416541295744416,0.13502384833665398,0.11968482905982906,0.05013438958834347,0.0291574683810892,0.012290431340005027,0.4004528502930208,0.2670653494892127,0.17232011326024987,0.07532341488241073,0.09235032470273519,0.23303256463016334,0.2293178925029507,0.44529921816415075
19,Iowa,1267873.0,376421.0,372236.0,245721.0,59955.0,93518.0,622160.0,24969.0,470268.0,61180.0,96185.0,7369.0,55707.0,3164.0,29571.0,6434.0,145545.0,6460.0,204022.0,3084.0,223862.0,6752.0,6805.0,10277.0,24588.0,13252.0,34935.0,2150.0,22285.0,2104792.0,162649.0,649269.0,682334.0,610540.0,0.1938056887401183,0.6601215357998689,0.13067049706711678,0.05041828457889859,0.38877768245797983,0.1168273194241867,0.09665495646861158,0.04233479625474572,0.03069146055244629,0.01358913574154204,0.49804529025595634,0.29476552416463503,0.2750119326789383,0.08798854102721507,0.07727556927240316,0.30847181099129983,0.3241812017529523,0.2900714179833447
20,Indiana,2599169.0,746172.0,794573.0,502105.0,55746.0,265735.0,1255695.0,81127.0,925919.0,160089.0,222876.0,24519.0,106900.0,13258.0,77000.0,19702.0,331402.0,15561.0,351405.0,6400.0,433549.0,17118.0,22379.0,29414.0,68164.0,32627.0,81477.0,4886.0,48807.0,4467893.0,491834.0,1480040.0,1284953.0,1211066.0,0.19317905068889327,0.631918023894595,0.17466133834616118,0.08055937861825577,0.41802514590106143,0.18657119594579172,0.14689002636885373,0.0561144276339774,0.042404473438956196,0.014547140691307402,0.4334000050636757,0.3014408985632007,0.28594089602467926,0.09099882666269346,0.11008186632938613,0.33126129027709483,0.2875970843527363,0.2710597590407828
21,South Dakota,345449.0,105749.0,102260.0,66190.0,56274.0,33216.0,174383.0,8240.0,135360.0,20909.0,27948.0,4067.0,11075.0,809.0,5991.0,1848.0,43162.0,1747.0,55005.0,911.0,62466.0,1989.0,1483.0,3264.0,6976.0,4197.0,8826.0,486.0,5718.0,582850.0,45157.0,180511.0,186784.0,170398.0,0.19160570735477594,0.6472716604733033,0.16000077071662194,0.05738161559888579,0.4279632396585955,0.26859067494386474,0.11897058823529412,0.04105754276827372,0.030783056103749647,0.014374299824857599,0.5728686635944701,0.31875,0.3222759732780465,0.07833655705996131,0.07747619456120786,0.3097040404906923,0.320466672385691,0.2923530925624089
22,Wyoming,230252.0,72606.0,64778.0,44100.0,61584.0,17639.0,112092.0,7504.0,87807.0,8600.0,17120.0,1535.0,7165.0,676.0,3674.0,1288.0,28548.0,1561.0,44551.0,516.0,35892.0,930.0,469.0,1292.0,3066.0,2466.0,7973.0,284.0,2706.0,393136.0,26309.0,113351.0,147893.0,105583.0,0.1915292809617289,0.680786686838124,0.13596596033330507,0.07873173086002665,0.3343701399688958,0.1764367816091954,0.15540229885057472,0.04316932564686955,0.03385235947258848,0.014172709294660513,0.6647605432451751,0.29646626893070216,0.23622952390075677,0.09498327759197324,0.06692086199177892,0.2883251597411583,0.37618788409100157,0.2685660941760612
23,North Carolina,4011462.0,1153710.0,1208890.0,766526.0,53855.0,441949.0,1801251.0,130001.0,1334260.0,267997.0,339443.0,43951.0,127548.0,25532.0,124688.0,27174.0,356212.0,27393.0,571698.0,13983.0,773556.0,34711.0,39547.0,45960.0,86905.0,53773.0,150271.0,9907.0,101998.0,7102144.0,834880.0,1802360.0,2198103.0,2266801.0,0.1910839489443001,0.6340742333876531,0.19701720756062768,0.08878266920992911,0.44119089951270907,0.25627554679619124,0.16996405272267343,0.0708789574997522,0.04572427227249282,0.017755311165542277,0.467437851813946,0.34591502653068906,0.26353629609299956,0.0885304499352129,0.117553234628867,0.25377688765533335,0.30949851199863027,0.31917136571716936
24,Arizona,2614298.0,749005.0,795027.0,498265.0,59246.0,318887.0,1290872.0,121669.0,923589.0,163153.0,233559.0,34065.0,133724.0,21625.0,97659.0,18851.0,208238.0,20149.0,403695.0,12424.0,464629.0,23802.0,25544.0,22654.0,52125.0,24931.0,100333.0,6466.0,58187.0,4840304.0,605934.0,1159297.0,1636580.0,1438493.0,0.1905922737193694,0.6267271426001885,0.1980961125236759,0.11640092685250913,0.4112630825384662,0.20302284416737687,0.1812900305154086,0.0830115065018561,0.04753871707515029,0.02604322790130237,0.48234912657560897,0.30294601425533907,0.1990276535956061,0.10001082703045489,0.12518511234005136,0.23950913000505752,0.3381151266532019,0.29719063100168913
25,Tennessee,2603140.0,752128.0,786301.0,493610.0,52375.0,325667.0,1150531.0,90364.0,850196.0,206026.0,211192.0,29277.0,89143.0,17221.0,83372.0,24608.0,300655.0,15852.0,355664.0,8707.0,439659.0,24671.0,27226.0,41072.0,66894.0,31679.0,81703.0,6714.0,55324.0,4640823.0,564949.0,1477132.0,1323317.0,1275425.0,0.1896209961815346,0.6277621419787079,0.22061200462268613,0.09607467891468913,0.4938089919418625,0.24723019760175646,0.17119481474854115,0.07565570015648874,0.04266841804928994,0.019419402898524864,0.4753839335607068,0.38041605690680397,0.27940061032615404,0.10822399174699378,0.12173465783978402,0.31829095830631765,0.2851470525809754,0.2748273312729229
26,Arkansas,1156347.0,334451.0,360956.0,219010.0,47062.0,167359.0,519920.0,46387.0,384502.0,107419.0,98006.0,13553.0,37412.0,5795.0,43669.0,14544.0,147733.0,9546.0,161331.0,3502.0,167341.0,11555.0,12404.0,18944.0,29886.0,20040.0,41612.0,3180.0,20406.0,2021939.0,258986.0,686867.0,604811.0,471275.0,0.18939816508366433,0.6067498531676991,0.24350954997897506,0.1076541754372936,0.522911038091761,0.2659275973707446,0.11715591136988517,0.08962453089470473,0.05586474481644692,0.020498352288358317,0.4822822321465837,0.3879582224042597,0.32505028222928695,0.13482574408547443,0.12808793934930776,0.33970708315137105,0.29912425646866697,0.23308072103065425
27,Connecticut,1378091.0,389409.0,402109.0,260908.0,76348.0,99250.0,624204.0,25746.0,455232.0,64206.0,122425.0,9298.0,46547.0,2894.0,31627.0,6589.0,123007.0,4598.0,146267.0,4657.0,330678.0,7995.0,11845.0,12566.0,41002.0,12858.0,46657.0,3634.0,38075.0,2493396.0,226254.0,669967.0,609945.0,987230.0,0.18932566862420552,0.6488489439430603,0.13718909564395249,0.05352843581203298,0.3440264479105829,0.16649655295908317,0.08383302917064975,0.05084261859933949,0.03047757929274517,0.013887604932381052,0.4029737903225806,0.23458034647550777,0.2160463748634798,0.08712747848186243,0.0907413022239548,0.26869658890926273,0.2446241992848308,0.3959379095819517
28,Oregon,1639970.0,485003.0,454889.0,308534.0,63426.0,127785.0,720588.0,46202.0,556853.0,66477.0,105601.0,15106.0,58134.0,9410.0,46698.0,8132.0,123231.0,10949.0,262919.0,6186.0,326012.0,7311.0,10115.0,13837.0,26294.0,13005.0,50679.0,3770.0,31821.0,2952380.0,279925.0,655811.0,1014101.0,1002543.0,0.18813392927919415,0.678262169452328,0.1506236054188429,0.07661324423145484,0.3863189948744174,0.20625341343528128,0.1677122691951237,0.061904798154731544,0.03997911402573503,0.018621424572092548,0.41954550671410534,0.3447957937753856,0.20421141888072358,0.1059256553623107,0.09481333703656034,0.22212960391277545,0.34348593338255917,0.33957112566810504
29,North Dakota,319355.0,89520.0,87142.0,59829.0,63837.0,16673.0,155475.0,3594.0,122144.0,10578.0,22377.0,2501.0,10954.0,660.0,5759.0,1320.0,29482.0,992.0,54768.0,942.0,55426.0,895.0,1033.0,2067.0,6090.0,1822.0,7259.0,667.0,5682.0,500779.0,38508.0,129495.0,184166.0,148610.0,0.18734323871553601,0.6865690482201464,0.0968527081348607,0.028583244524328366,0.32098315885298134,0.18587885544407284,0.10281975385574077,0.04285436010648659,0.017790530846484937,0.016711609423786546,0.4642116182572614,0.2534019860242736,0.20063869617883492,0.10505591431721531,0.07689619572705725,0.258587121265069,0.36775903142903354,0.29675765157884015
30,Wisconsin,2371960.0,716912.0,662377.0,433738.0,60773.0,169022.0,1071300.0,50780.0,808535.0,99732.0,170277.0,18510.0,92488.0,8239.0,53030.0,13017.0,268409.0,10606.0,359577.0,5951.0,431821.0,7194.0,14284.0,20139.0,46728.0,21823.0,67446.0,4076.0,41901.0,3992022.0,315219.0,1222475.0,1256252.0,1198076.0,0.18286058786826084,0.6548204421349171,0.13627267757888678,0.05909358035179183,0.36936546559559125,0.16675976143714302,0.13447257177365388,0.04625372211522745,0.028650694386290025,0.013593834233345212,0.33494738802495577,0.30117995423751626,0.244463363541655,0.08865302216325555,0.07896224018805507,0.30622952478718807,0.3146906505024271,0.3001175845223298
31,New York,7367015.0,1897256.0,2110522.0,1346257.0,67844.0,723189.0,3248837.0,271529.0,2379666.0,402870.0,644286.0,48790.0,224885.0,55807.0,245136.0,56101.0,632176.0,34940.0,757812.0,30833.0,1430708.0,73288.0,96551.0,77974.0,204386.0,68931.0,243120.0,23957.0,240451.0,13672343.0,1757364.0,3546789.0,3276724.0,5091466.0,0.18274117807551635,0.637878685936465,0.18207056046460923,0.10241758904946638,0.3847277769501392,0.17827715355805243,0.18544043224132145,0.08150933417795451,0.044074313278301414,0.02109622651708026,0.43151455201691014,0.27615101289134436,0.22089658421219607,0.09060618438171311,0.1285342241633347,0.25941340119977974,0.23966075163561945,0.37239162300126616
32,Montana,431421.0,134418.0,116025.0,78755.0,55328.0,33828.0,188737.0,13611.0,149806.0,15249.0,25538.0,4968.0,13393.0,770.0,5855.0,3793.0,45573.0,3564.0,69407.0,1257.0,82954.0,1227.0,1127.0,2763.0,5632.0,4085.0,11825.0,688.0,7296.0,735761.0,45079.0,205496.0,251781.0,233405.0,0.18254790564205267,0.6787761258349494,0.15199155302945208,0.08328998818972322,0.37386912496628827,0.27057349817548065,0.11622641509433962,0.07683425839646721,0.04884132052459196,0.014926791036800419,0.5212404418011894,0.3291244788564622,0.25675675675675674,0.08617234468937876,0.06126853692979106,0.279297217438815,0.3422048735934631,0.3172293720379308
33,Alabama,1855184.0,540717.0,547610.0,338510.0,49861.0,251471.0,814890.0,63002.0,606419.0,172205.0,150616.0,16264.0,57855.0,14784.0,59408.0,16296.0,208220.0,11851.0,263539.0,4793.0,300336.0,24282.0,16900.0,30909.0,47772.0,29913.0,66290.0,4630.0,36922.0,3337464.0,448179.0,1026976.0,1010272.0,852037.0,0.18246707604205298,0.6181589087124049,0.23582164013875226,0.09411416731772682,0.5334380353198832,0.21943091514996155,0.19926676730644813,0.07258280033494272,0.04303351610443371,0.015708110340216762,0.5896265358651838,0.39283944027147594,0.3109362493893122,0.11142664613015017,0.1342872911887589,0.307711483929115,0.30270648612239714,0.25529473875972897
34,Missouri,2434806.0,716466.0,694241.0,443036.0,54478.0,239604.0,1099953.0,78501.0,816070.0,138622.0,195584.0,22481.0,88299.0,10485.0,60187.0,19599.0,263499.0,15586.0,345939.0,7751.0,436456.0,15612.0,17476.0,21634.0,58644.0,28498.0,83558.0,6096.0,50189.0,4182787.0,398377.0,1270247.0,1278269.0,1235894.0,0.18195946617512854,0.6381587950005834,0.1788680884799975,0.08775267698148051,0.4147801056833211,0.20293374255280736,0.1483614444192891,0.0692304431680902,0.04311181799322315,0.017449072166805114,0.47183268858800775,0.2694885273673983,0.2543192689369601,0.1083059429688194,0.09524200013053498,0.3036843616469115,0.30560222167659984,0.2954714165459537
35,Mississippi,1108630.0,292336.0,346419.0,199424.0,44717.0,191181.0,501954.0,33123.0,364585.0,144612.0,106565.0,13446.0,30804.0,7468.0,39416.0,9913.0,111870.0,8393.0,158471.0,2486.0,153743.0,16188.0,15240.0,27180.0,29654.0,24725.0,47679.0,4303.0,24862.0,1977283.0,288595.0,589363.0,640631.0,458694.0,0.17988327936281717,0.5756728124034767,0.2758207275638945,0.08328472145393102,0.5757374281880905,0.30386440677966103,0.1592867502772801,0.08139888161730291,0.05029844663917921,0.015912538645193913,0.51508209240168,0.4782348594151388,0.3414866581956798,0.14753985942053832,0.14595533365734698,0.2980670950996898,0.32399560406881567,0.23198196717414757
36,New Hampshire,531212.0,179811.0,137064.0,94498.0,74991.0,25523.0,225255.0,4885.0,175008.0,17353.0,33490.0,3285.0,16757.0,1130.0,9673.0,1531.0,53346.0,1096.0,80724.0,1257.0,125552.0,1515.0,3168.0,3817.0,8908.0,2742.0,13163.0,1462.0,10479.0,970748.0,66510.0,269202.0,277457.0,357579.0,0.17789131269624933,0.6894443471662873,0.10177527534313217,0.027155031046233038,0.3413055877898629,0.1639057978245684,0.10460057391465334,0.027898755398436503,0.013395257883158151,0.009912545639505083,0.32351057014734147,0.2999607072691552,0.17239861678717386,0.12243530692571812,0.06851417669673283,0.277313988800389,0.2858177405464652,0.368354093956413
37,Michigan,3957466.0,1150328.0,1111781.0,699142.0,56697.0,403427.0,1709545.0,120262.0,1266603.0,240218.0,306378.0,42947.0,136564.0,16143.0,85472.0,26710.0,379145.0,24910.0,599233.0,14103.0,703754.0,27690.0,29505.0,45765.0,92494.0,46594.0,147212.0,7979.0,77754.0,6869846.0,612424.0,1972855.0,2252674.0,2031893.0,0.17666405725279763,0.6288486671385821,0.19092870137417817,0.08671500109960234,0.43947998155859175,0.2392443917085861,0.15886434089455298,0.06581168151187,0.039910725586924795,0.019645974058900312,0.4841332284290585,0.33100919289160197,0.24041567340536413,0.09306801348372272,0.08914668538421386,0.287176015299324,0.3279074960341178,0.2957698032823443
