NAME,state,population_2016,population_2021,2016_to_2021_population_chg
24485,51,147.0,415.0,1.82312925170068
24503,51,18842.0,19384.0,0.028765523829741957
24555,51,1907.0,2495.0,0.30833770319874154
24563,51,5334.0,5379.0,0.00843644544431954
24565,51,1075.0,1099.0,0.022325581395348904
24569,51,1079.0,760.0,-0.29564411492122333
24586,51,5721.0,4534.0,-0.20748120957874494
24465,51,1360.0,1331.0,-0.02132352941176474
24014,51,17116.0,16434.0,-0.03984575835475579
24064,51,4651.0,5264.0,0.13179961298645448
24065,51,6301.0,6367.0,0.010474527852721849
24085,51,2148.0,2192.0,0.020484171322160183
24086,51,212.0,188.0,-0.1132075471698113
24105,51,478.0,420.0,-0.12133891213389125
24018,51,37746.0,38232.0,0.012875536480686733
24059,51,814.0,986.0,0.21130221130221138
24072,51,1239.0,1073.0,-0.1339790153349475
24073,51,30394.0,30043.0,-0.011548331907613396
24088,51,5178.0,4975.0,-0.03920432599459256
24102,51,1683.0,1685.0,0.0011883541295305555
24121,51,10405.0,10920.0,0.04949543488707353
24124,51,4725.0,4682.0,-0.009100529100529053
24131,51,54.0,71.0,0.3148148148148149
24138,51,1670.0,1605.0,-0.038922155688622784
24139,51,569.0,634.0,0.11423550087873457
24142,51,2810.0,2708.0,-0.036298932384341676
24162,51,1691.0,2068.0,0.22294500295683028
24179,51,18261.0,19154.0,0.0489020316521549
24230,51,9053.0,7615.0,-0.1588423726941346
24053,51,2879.0,2398.0,-0.16707189996526572
24077,51,826.0,940.0,0.13801452784503643
24090,51,5217.0,4967.0,-0.04792026068621813
24091,51,7158.0,7552.0,0.05504330818664438
24523,51,19632.0,21064.0,0.07294213528932358
24531,51,9120.0,9259.0,0.015241228070175472
24550,51,7881.0,7724.0,-0.019921329780484665
24557,51,7353.0,7507.0,0.020943832449340505
24577,51,4892.0,4390.0,-0.10261651676206052
24590,51,7983.0,7700.0,-0.035450331955405257
24598,51,1804.0,1438.0,-0.20288248337028825
24602,51,1229.0,969.0,-0.2115541090317331
24603,51,939.0,609.0,-0.3514376996805112
24622,51,840.0,649.0,-0.22738095238095235
24712,54,1917.0,2712.0,0.41471048513302033
24733,54,804.0,184.0,-0.7711442786069651
24818,54,778.0,979.0,0.25835475578406175
24822,54,735.0,1053.0,0.4326530612244899
24844,54,1546.0,1061.0,-0.3137128072445019
24851,54,413.0,474.0,0.14769975786924938
24504,51,9593.0,9814.0,0.023037631606379616
24517,51,5378.0,5067.0,-0.05782818891781327
24522,51,9670.0,9560.0,-0.011375387797311287
24529,51,1604.0,1429.0,-0.10910224438902738
24549,51,4222.0,4102.0,-0.02842254855518711
24553,51,1771.0,2224.0,0.2557876905702994
25276,54,7904.0,7574.0,-0.041751012145748945
25442,54,1748.0,2736.0,0.5652173913043479
25502,54,1183.0,680.0,-0.4251901944209636
25524,54,3377.0,2786.0,-0.17500740302043238
