NAME,state,population_2015,population_2020,2015_to_2020_chg
20152,51,28574,36465,0.27616014558689717
20155,51,32716,37151,0.13556058197823684
20615,24,460,513,0.11521739130434772
20646,24,18615,22583,0.21316142895514378
20657,24,19525,19711,0.009526248399487791
20664,24,2905,3285,0.13080895008605853
20690,24,622,950,0.527331189710611
20722,24,5966,5604,-0.06067717063359035
20745,24,29145,27503,-0.05633899468176362
20751,24,2327,1972,-0.1525569402664375
20763,24,2101,1955,-0.06949071870537837
20776,24,3344,2940,-0.1208133971291866
20778,24,1909,2460,0.2886327920377161
20812,24,286,323,0.12937062937062938
20816,24,16581,16661,0.004824799469272056
20852,24,45962,47338,0.02993777468343417
20861,24,1848,2015,0.09036796536796543
20871,24,16795,18961,0.12896695445072948
20001,11,43731,47697,0.0906908142964944
20020,11,53646,57031,0.06309883309100406
20105,51,15021,27526,0.8325011650356169
20166,51,10150,12572,0.23862068965517236
20175,51,31288,35429,0.13235106110969053
20186,51,14713,15143,0.029225854686331765
20191,51,29362,30224,0.029357673183025623
20194,51,13635,12067,-0.11499816648331496
20601,24,25028,26236,0.048265942144797735
20626,24,267,278,0.04119850187265928
20650,24,14030,14069,0.002779757662152438
20662,24,3262,2333,-0.2847946045370938
20667,24,508,868,0.7086614173228347
20680,24,1361,649,-0.5231447465099192
20692,24,1641,684,-0.583180987202925
20715,24,26627,27360,0.02752844856724379
20716,24,21860,22223,0.016605672461116106
20721,24,27718,30121,0.08669456670755471
20732,24,9973,10295,0.03228717537350856
20735,24,38610,37009,-0.041465941465941514
20743,24,38828,38747,-0.00208612341609149
20815,24,30009,30908,0.02995767936285776
20842,24,1634,1467,-0.10220318237454096
20850,24,47184,53522,0.13432519498134954
20862,24,260,359,0.38076923076923075
20866,24,13959,16974,0.21598968407479036
20874,24,59202,60258,0.01783723522853964
20876,24,26423,31703,0.19982590924573285
20878,24,64890,63576,-0.02024965325936201
20882,24,14253,14441,0.013190205570757119
20032,11,39776,42009,0.05613938053097356
20036,11,5405,5426,0.003885291396854784
20117,51,2530,2591,0.024110671936758976
20794,24,14510,16956,0.16857339765678847
20814,24,28241,29632,0.04925462979356254
20838,24,247,377,0.5263157894736843
20877,24,36724,37948,0.03332970264677049
24991,54,658,675,0.02583586626139822
24639,51,3301,4025,0.21932747652226592
24657,51,424,504,0.18867924528301883
24737,54,72,174,1.4166666666666665
21128,24,14211,13967,-0.017169798043768947
21155,24,2712,2363,-0.1286873156342183
21157,24,36732,38714,0.053958401393880084
21214,24,20823,21666,0.04048408010373139
21223,24,24904,21974,-0.1176517828461291
21224,24,49714,48770,-0.01898861487709702
21226,24,7824,6699,-0.14378834355828218
21230,24,33829,33592,-0.00700582340595346
21237,24,30617,31105,0.015938857497468817
21402,24,6103,6460,0.058495821727019504
21524,24,536,831,0.5503731343283582
