NAME,state,county,population_2010,population_2011,population_2012,population_2013,population_2014,population_2015,population_2016,population_2017,population_2018,population_2019,2010_to_2011_chg,2011_to_2012_chg,2012_to_2013_chg,2013_to_2014_chg,2014_to_2015_chg,2015_to_2016_chg,2016_to_2017_chg,2017_to_2018_chg,2018_to_2019_chg,2010_to_2019_chg
"Stark County, Ohio",39,151,375321.0,375087.0,374868.0,375432.0,375736.0,375165.0,373612.0,372542.0,371574.0,370606.0,-0.0006234663128361628,-0.0005838645434259604,0.0015045295944171588,0.0008097338532677689,-0.0015196840334703587,-0.004139511948076158,-0.002863933706626076,-0.002598364748135795,-0.0026051338360595366,-0.012562579765054482
"Summit County, Ohio",39,153,541565.0,539832.0,540811.0,541824.0,541943.0,541968.0,540300.0,541228.0,541918.0,541013.0,-0.0031999852279966934,0.0018135271714163625,0.0018731127880164955,0.00021962851405632478,4.6130312597369993e-05,-0.0030776724825082313,0.00171756431612069,0.0012748786093845776,-0.0016699943533892148,-0.0010192682318834745
"Trumbull County, Ohio",39,155,209936.0,209264.0,207406.0,206442.0,205175.0,203751.0,201825.0,200380.0,198627.0,197974.0,-0.003200975535401218,-0.008878736906491325,-0.004647888682101753,-0.006137317018823696,-0.006940416717436282,-0.009452714342506274,-0.00715966802923329,-0.008748378081644859,-0.00328756916229922,-0.05697926987272317
"Tuscarawas County, Ohio",39,157,92542.0,92508.0,92392.0,92672.0,92788.0,92916.0,92420.0,92297.0,92176.0,91987.0,-0.0003674007477685315,-0.0012539456047044872,0.003030565416919151,0.0012517265193370264,0.001379488726990452,-0.0053381548925911515,-0.0013308807617399276,-0.0013109851891177637,-0.002050425273390055,-0.005997276912104721
"Warren County, Ohio",39,165,213192.0,214910.0,217241.0,219169.0,221659.0,224469.0,227063.0,228882.0,232173.0,234602.0,0.00805846373222252,0.0108464008189475,0.008874936130840894,0.011361095775406227,0.012677130186457664,0.011556161429863376,0.00801099254391957,0.014378588093427958,0.010462026161526028,0.10042590716349586
"Wayne County, Ohio",39,169,114505.0,114611.0,114848.0,115071.0,115537.0,116063.0,116470.0,116038.0,115967.0,115710.0,0.0009257237675210916,0.0020678643411191633,0.001941696851490704,0.004049673679728194,0.004552654128114897,0.0035067161800057534,-0.0037091096419679115,-0.0006118685258277301,-0.0022161476971896965,0.010523557923234783
"Wood County, Ohio",39,173,125502.0,126355.0,128200.0,129264.0,129590.0,129730.0,130219.0,130492.0,130696.0,130817.0,0.0067967044349890315,0.014601717383562196,0.008299531981279307,0.0025219705409085247,0.0010803302723976227,0.003769367147151703,0.0020964682573203497,0.0015633142261595179,0.0009258125726878674,0.04234992271039495
"Canadian County, Oklahoma",40,017,116237.0,119492.0,122560.0,126123.0,129582.0,133378.0,136532.0,139926.0,144447.0,148306.0,0.028003131532988723,0.02567535901985063,0.029071475195822538,0.027425608334720852,0.029294192094581062,0.023647078228793417,0.024858641197667897,0.032309935251490174,0.026715681184102058,0.2758932181663325
"Cleveland County, Oklahoma",40,027,256895.0,261281.0,265638.0,269340.0,269908.0,274458.0,278655.0,279641.0,281669.0,284014.0,0.017073123260476164,0.016675533238161178,0.013936259119553762,0.0021088586916164775,0.01685759592157332,0.015291957239359055,0.0035384256517916324,0.007252155442156294,0.008325374819380116,0.1055645302555519
"Comanche County, Oklahoma",40,031,125368.0,125815.0,126390.0,124937.0,125033.0,124648.0,122136.0,121526.0,120422.0,120749.0,0.0035655031587007446,0.004570202281127145,-0.011496162671097432,0.0007683872671826464,-0.003079187094606972,-0.02015275014440665,-0.004994432435972973,-0.009084475750045229,0.002715450665160768,-0.03684353263990814
